,County,Total Cases,Total Cases per 100k,Total Deaths,Total Deaths per 100k,Fully Vaccinated,Daily Case Avg,Daily Case 14-Day change %,Hospitalized Daily Avg,Hosp. Daily per 100k,Hosp. Daily change %,Deaths Daily Avg.,Deaths Daily per 100k
1896,Alexander ›,"4,397","11,726",84,224,27%,4,19,4,–16%,0,—,24%
2971,Alexandria ›,"11,780","7,389",135,85,—,2,8,7,–27%,0.1,0.47,—
2126,Alfalfa ›,"1,154","20,239",6,105,33%,7,17,7,–15%,0.1,0.37,24%
1297,Alger ›,662,"7,268",6,66,43%,10,11,14,–53%,0.7,0.77,46%
846,Allamakee ›,"1,514","11,062",51,373,37%,<1,6,12,+300%,0,—,36%
1191,Allegany ›,"6,912","9,816",208,295,33%,82,14,34,–25%,2.4,0.41,34%
1856,Allegany ›,"3,398","7,372",84,182,27%,19,12,6,+11%,0.4,0.28,43%
1270,Allegan ›,"10,784","9,133",139,118,32%,394,22,30,–33%,14.0,0.80,31%
1936,Alleghany ›,"1,051","9,437",5,45,35%,7,11,8,–6%,0.3,0.45,26%
2934,Alleghany ›,"1,342","9,031",48,323,—,5,6,4,–61%,0,—,—
2288,Allegheny ›,"99,709","8,199","1,934",159,41%,5,13,12,+26%,0.1,0.37,27%
2419,Allendale ›,930,"10,704",15,173,26%,2,12,9,–32%,0,—,25%
1116,Allen ›,"3,192","12,456",92,359,18%,4,20,8,+4%,0,—,23%
2042,Allen ›,"11,704","11,435",232,227,28%,62,14,19,–26%,0.9,0.20,37%
740,Allen ›,"40,834","10,766",699,184,30%,5,6,7,–5%,0.1,0.17,34%
951,Allen ›,"1,244","10,057",19,154,28%,0,—,—,—,0,—,29%
1049,Allen ›,"2,078","9,749",40,188,26%,3,14,5,+210%,0,—,31%
1291,Alpena ›,"2,195","7,728",60,211,38%,4,16,6,–18%,0,—,45%
209,Alpine ›,88,"7,795",0,—,—,50,5,9,–19%,1.7,0.17,31%
203,Amador ›,"3,657","9,200",47,118,31%,6,6,5,–30%,0.1,0.15,29%
2988,Amelia ›,902,"6,862",32,243,—,<1,6,11,–8%,0,—,—
2927,Amherst ›,"2,923","9,249",37,117,—,4,7,19,+27%,0.1,0.25,—
1456,Amite ›,"1,231","10,011",42,342,20%,1,4,5,–65%,0,—,23%
73,Anchorage Municipality ›,"30,305","10,523",171,59,40%,<1,27,4,–46%,0,—,36%
2407,Anderson ›,"22,910","11,310",521,257,24%,6,8,6,–8%,0.1,0.21,27%
1099,Anderson ›,"1,742","7,658",22,97,35%,2,5,4,–45%,0.1,0.46,22%
2702,Anderson ›,"6,201","10,740",123,213,14%,2,13,—,–100%,0,—,33%
2571,Anderson ›,"8,792","11,421",171,222,33%,<1,7,—,—,0,—,22%
940,Anderson ›,837,"10,652",18,229,27%,<1,3,—,—,0,—,27%
2740,Andrews ›,"1,824","9,751",47,251,27%,<1,7,8,–22%,0,—,35%
1510,Andrew ›,"1,861","10,507",20,113,23%,2,14,—,—,0,—,23%
1174,Androscoggin ›,"7,868","7,267",72,66,38%,45,41,15,+1%,0,—,38%
2733,Angelina ›,"8,597","9,914",280,323,25%,1,7,6,–74%,0,—,27%
1198,Anne Arundel ›,"43,315","7,478",606,105,41%,15,9,28,–24%,0.3,0.20,42%
1338,Anoka ›,"41,604","11,656",438,123,31%,3,18,17,–19%,0.3,1.75,27%
1915,Anson ›,"2,581","10,558",55,225,15%,7,13,4,–39%,0,—,16%
1720,Antelope ›,534,"8,479",7,111,26%,1,3,—,–100%,0.1,0.43,26%
1282,Antrim ›,"1,924","8,249",27,116,41%,14,19,20,–26%,0.6,0.76,33%
96,Apache ›,"11,381","15,832",429,597,49%,467,10,9,–5%,6.3,0.14,30%
858,Appanoose ›,"1,280","10,301",49,394,32%,1,5,11,+14%,0,—,33%
401,Appling ›,"2,321","12,624",71,386,—,18,12,38,–15%,0.7,0.49,—
2917,Appomattox ›,"1,592","10,006",25,157,—,14,10,4,–70%,0.4,0.32,—
2841,Aransas ›,"1,251","5,321",40,170,35%,0,—,8,+118%,0,—,33%
266,Arapahoe ›,"60,926","9,279",784,119,—,23,7,4,–62%,0.1,0.04,—
2756,Archer ›,806,"9,424",12,140,32%,<1,6,9,–47%,0,—,32%
290,Archuleta ›,954,"6,800",1,7,—,1,12,12,+22%,0,—,—
2349,Arecibo,"3,490","4,250",—,—,34%,2,9,—,—,0,—,24%
1289,Arenac ›,"1,167","7,841",29,195,35%,18,16,8,–72%,1.1,1.04,35%
131,Arkansas ›,"2,110","12,067",36,206,32%,<1,7,7,+346%,0,—,33%
3002,Arlington ›,"15,246","6,437",255,108,—,1,4,11,+13%,0.1,0.45,—
2719,Armstrong ›,194,"10,281",6,318,25%,3,8,11,–23%,0,—,25%
2273,Armstrong ›,"5,883","9,088",135,209,37%,102,16,19,–35%,1.7,0.27,39%
1187,Aroostook ›,"1,772","2,643",45,67,44%,38,13,16,+16%,0.1,0.05,52%
2379,Arroyo,447,"2,604",—,—,28%,<1,3,—,—,0,—,27%
1743,Arthur ›,22,"4,752",1,216,11%,0,—,—,—,0,—,16%
1150,Ascension ›,"12,313","9,726",164,130,26%,13,5,<1,–61%,0,—,33%
1968,Ashe ›,"2,125","7,812",41,151,32%,2,9,—,–100%,0,—,29%
2112,Ashland ›,"4,246","7,939",89,166,25%,<1,5,—,–100%,0,—,32%
3187,Ashland ›,"1,362","8,752",15,96,45%,<1,3,4,–31%,0,—,22%
147,Ashley ›,"2,019","10,271",35,178,26%,<1,4,—,—,0,—,20%
2122,Ashtabula ›,"6,861","7,056",170,175,31%,<1,3,8,–17%,0,—,31%
3036,Asotin ›,"1,452","6,430",28,124,25%,4,18,3,–47%,0.1,0.64,32%
1146,Assumption ›,"2,212","10,105",36,164,23%,29,7,9,+72%,0,—,41%
2686,Atascosa ›,"5,769","11,278",150,293,23%,1,39,6,–19%,0,—,24%
1558,Atchison ›,455,"8,847",6,117,38%,2,4,14,+4%,0,—,23%
948,Atchison ›,"1,633","10,160",14,87,27%,<1,1,5,–48%,0,—,27%
2110,Athens ›,"5,204","7,966",58,89,34%,2,6,11,+1%,0,—,41%
403,Atkinson ›,"1,030","12,615",22,269,—,22,11,12,–11%,0.4,0.21,—
1778,Atlantic ›,"31,332","11,883",673,255,41%,30,10,18,–25%,1.9,0.64,39%
2138,Atoka ›,"1,872","13,607",25,182,22%,4,5,7,–16%,0.3,0.31,27%
1428,Attala ›,"2,144","11,797",73,402,26%,3,8,3,–44%,0,—,26%
1508,Audrain ›,"2,705","10,655",57,225,23%,2,19,8,+3%,0,—,20%
872,Audubon ›,510,"9,279",10,182,43%,<1,3,—,—,0.1,1.15,32%
2044,Auglaize ›,"4,939","10,818",84,184,28%,6,14,4,–49%,0,—,34%
2963,Augusta ›,"5,803","7,680",71,94,—,1,10,19,–19%,0,—,—
2440,Aurora ›,473,"17,194",15,545,32%,2,26,14,–37%,0,—,32%
2809,Austin ›,"2,162","7,199",35,117,27%,<1,2,2,–10%,0,—,22%
10,Autauga ›,"6,938","12,418",108,193,20%,5,8,16,+6%,0,—,19%
1892,Avery ›,"2,127","12,115",20,114,33%,71,21,10,+6%,0.6,0.17,34%
1139,Avoyelles ›,"4,222","10,517",123,306,21%,10,10,5,+106%,0,—,23%
2358,Añasco,969,"3,722",—,—,28%,<1,6,—,—,0,—,25%
274,Baca ›,305,"8,517",4,112,—,2,26,19,–8%,0,—,—
388,Bacon ›,"1,649","14,771",36,322,—,11,16,8,–21%,0,—,—
2666,Bailey ›,823,"11,757",19,271,27%,3,6,10,–43%,0,—,19%
526,Baker ›,233,"7,670",9,296,—,<1,3,6,–59%,0,—,—
329,Baker ›,"3,511","12,020",60,205,16%,52,16,7,–42%,1.1,0.35,30%
2210,Baker ›,954,"5,917",14,87,52%,8,16,6,–41%,0.1,0.27,30%
54,Baldwin ›,"21,191","9,493",309,138,24%,3,5,4,–18%,0,—,28%
460,Baldwin ›,"4,536","10,105",130,290,—,2,10,11,–22%,0.1,0.67,—
1109,Ballard ›,399,"5,058",9,114,20%,<1,1,6,–22%,0,—,29%
1196,Baltimore County ›,"64,843","7,837","1,502",182,40%,88,11,31,–24%,1.9,0.22,40%
1194,Baltimore ›,"52,176","8,791","1,071",180,34%,4,11,7,–18%,0,—,49%
2410,Bamberg ›,"1,571","11,169",51,363,25%,7,8,5,–42%,0.3,0.33,29%
2836,Bandera ›,"1,403","6,070",27,117,26%,0,—,—,–100%,0,—,15%
478,Banks ›,"1,848","9,608",37,192,—,2,8,10,–2%,0,—,—
1742,Banner ›,36,"4,832",0,—,16%,0,—,—,—,0,—,24%
565,Bannock ›,"8,777","9,996",108,123,30%,<1,10,12,–20%,0,—,31%
1237,Baraga ›,932,"11,353",38,463,38%,23,37,26,–12%,0.3,0.45,25%
977,Barber ›,374,"8,448",6,136,34%,0,—,40,–5%,0,—,27%
3087,Barbour ›,"1,436","8,734",27,164,—,3,19,—,–100%,0,—,—
56,Barbour ›,"2,317","9,386",56,227,19%,<1,4,—,–100%,0,—,22%
2353,Barceloneta,917,"3,901",—,—,27%,2,8,—,—,0,—,30%
2008,Barnes ›,"1,414","13,577",31,298,42%,<1,15,16,–26%,0,—,42%
1224,Barnstable ›,"13,753","6,457",464,218,4%,47,7,5,–44%,0.3,0.04,45%
2399,Barnwell ›,"2,581","12,369",57,273,25%,20,12,5,–46%,0.3,0.18,26%
2321,Barranquitas,"1,590","5,787",—,—,34%,8,11,—,—,0,—,27%
1037,Barren ›,"4,456","10,070",92,208,28%,5,8,4,–37%,0,—,17%
3126,Barron ›,"5,969","13,193",83,183,36%,9,21,3,–69%,0,—,36%
415,Barrow ›,"10,019","12,036",139,167,—,71,9,17,–16%,1.1,0.15,—
1576,Barry ›,"2,891","8,078",45,126,24%,<1,2,9,+25%,0,—,18%
1262,Barry ›,"5,769","9,373",65,106,30%,3,24,15,–29%,0.1,1.02,32%
763,Bartholomew ›,"8,099","9,667",161,192,34%,2,8,7,–40%,0,—,29%
949,Barton ›,"2,616","10,148",49,190,27%,0,—,—,—,0,—,34%
1530,Barton ›,"1,176","10,005",14,119,19%,1,8,—,–100%,0,—,19%
390,Bartow ›,"14,793","13,731",225,209,—,5,14,5,–45%,0.2,0.47,—
2706,Bastrop ›,"9,473","10,677",93,105,25%,2,10,7,+22%,0.1,0.61,19%
1574,Bates ›,"1,336","8,261",29,179,23%,<1,2,9,–15%,0,—,24%
1091,Bath ›,"1,000","8,000",21,168,32%,<1,7,—,–100%,0,—,24%
2999,Bath ›,271,"6,535",10,241,—,1,4,8,–36%,0,—,—
182,Baxter ›,"3,180","7,584",104,248,28%,0,—,—,—,0,—,30%
2309,Bayamón,"12,467","7,313",—,—,34%,4,17,—,—,0,—,29%
3188,Bayfield ›,"1,272","8,460",19,126,59%,<1,2,—,–100%,0,—,41%
2780,Baylor ›,298,"8,492",12,342,30%,<1,4,11,–38%,0,—,33%
331,Bay ›,"20,324","11,633",392,224,26%,34,16,11,–22%,0.3,0.13,24%
1248,Bay ›,"10,980","10,647",340,330,38%,44,28,12,–67%,0.6,0.36,33%
2446,Beadle ›,"2,955","16,014",40,217,28%,<1,12,13,–32%,0,—,36%
589,Bear Lake ›,387,"6,318",2,33,28%,0,—,—,—,0,—,28%
2432,Beaufort ›,"16,805","8,747",206,107,37%,1,4,—,–100%,0,—,27%
1929,Beaufort ›,"4,605","9,799",95,202,35%,4,12,26,–2%,0.1,0.41,26%
1168,Beauregard ›,"3,207","8,553",78,208,16%,2,7,8,–14%,0.1,0.57,25%
1626,Beaverhead ›,910,"9,627",10,106,37%,<1,5,—,–100%,0,—,29%
2269,Beaver ›,"15,125","9,227",380,232,26%,7,17,6,–73%,0,—,26%
2858,Beaver ›,791,"11,788",7,104,22%,13,10,—,–100%,0,—,26%
2200,Beaver ›,474,"8,925",6,113,19%,0,—,—,—,0,—,23%
1354,Becker ›,"3,797","11,030",51,148,37%,5,12,17,–23%,0,—,40%
2140,Beckham ›,"2,898","13,258",55,252,25%,<1,8,—,–100%,0,—,24%
2956,Bedford ›,"6,379","8,075",102,129,—,<1,13,—,–100%,0,—,—
2540,Bedford ›,"6,521","13,117",128,257,19%,38,5,13,–23%,1.1,0.16,34%
2267,Bedford ›,"4,490","9,376",136,284,23%,37,18,13,–19%,0.4,0.21,38%
2701,Bee ›,"3,503","10,757",72,221,25%,2,15,6,–74%,0,—,27%
1766,Belknap ›,"4,036","6,584",100,163,35%,22,17,6,Flat,0.7,0.55,30%
1001,Bell ›,"3,107","11,935",54,207,28%,4,26,14,–9%,0.1,0.84,33%
2831,Bell ›,"22,566","6,218",434,120,18%,0,—,11,+251%,0,—,26%
2089,Belmont ›,"5,953","8,884",167,249,30%,3,6,—,–100%,0,—,29%
1392,Beltrami ›,"3,944","8,358",59,125,37%,<1,4,17,–26%,0,—,40%
402,Ben Hill ›,"2,107","12,617",79,473,—,3,11,25,Flat,0.1,0.55,—
581,Benewah ›,685,"7,367",9,97,29%,<1,3,—,—,0,—,25%
2482,Bennett ›,391,"11,620",9,267,27%,<1,3,13,–38%,0,—,32%
2879,Bennington ›,"2,000","5,639",14,39,—,5,20,—,–100%,0,—,—
1993,Benson ›,"1,093","15,998",18,263,23%,1,40,—,—,0,—,39%
144,Benton ›,"29,083","10,419",416,149,26%,1,4,1,–39%,0,—,28%
2588,Benton ›,"1,670","10,334",40,248,26%,<1,4,5,+11%,0,—,23%
1565,Benton ›,"1,677","8,625",33,170,31%,<1,3,—,–100%,0,—,38%
1423,Benton ›,995,"12,047",25,303,23%,2,9,7,+182%,0.1,0.69,25%
1315,Benton ›,"5,682","13,896",97,237,22%,99,28,14,–6%,0.7,0.20,31%
722,Benton ›,989,"11,305",14,160,23%,19,12,15,+9%,0.3,0.18,31%
2227,Benton ›,"3,100","3,331",19,20,45%,1,16,—,—,0.1,1.98,31%
863,Benton ›,"2,565","10,002",55,214,39%,<1,4,—,–100%,0,—,41%
3035,Benton ›,"16,959","8,297",220,108,31%,8,19,5,—,0,—,42%
243,Bent ›,"1,533","27,488",21,377,—,10,63,16,+180%,0.1,0.88,—
1301,Benzie ›,"1,260","7,092",34,191,46%,3,18,—,—,0,—,44%
1781,Bergen ›,"103,542","11,107","2,851",306,46%,12,9,2,–76%,0.1,0.10,39%
3072,Berkeley ›,"12,397","10,403",125,105,—,5,32,22,–9%,0.1,0.95,—
2434,Berkeley ›,"17,573","7,711",197,86,22%,<1,2,11,–16%,0,—,43%
1226,Berkshire ›,"6,463","5,173",285,228,32%,104,6,5,–45%,1.1,0.07,46%
2243,Berks ›,"47,035","11,168","1,010",240,30%,4,27,6,–74%,0,—,18%
1811,Bernalillo ›,"57,776","8,507",938,138,35%,3,11,—,–100%,0.1,0.60,32%
1258,Berrien ›,"15,149","9,875",276,180,34%,6,25,—,–100%,0,—,38%
481,Berrien ›,"1,851","9,543",44,227,—,2,7,22,–1%,0.4,1.28,—
1938,Bertie ›,"1,765","9,315",43,227,27%,6,10,8,–17%,0,—,22%
67,Bethel Census Area ›,"3,884","21,125",21,114,44%,9,65,—,—,0,—,43%
2695,Bexar ›,"220,529","11,007","3,523",176,32%,<1,20,2,–35%,0,—,36%
452,Bibb ›,"15,925","10,398",448,293,—,1,13,—,–100%,0,—,—
21,Bibb ›,"2,615","11,677",64,286,16%,3,5,12,–1%,0,—,26%
1113,Bienville ›,"1,669","12,605",81,612,27%,5,21,9,+6%,0.1,0.66,31%
3202,Big Horn ›,"1,160","9,839",33,280,22%,1,12,—,–100%,0,—,21%
1597,Big Horn ›,"2,567","19,273",75,563,46%,7,41,—,—,0,—,37%
1332,Big Stone ›,600,"12,022",4,80,49%,9,20,8,–47%,0.1,0.33,32%
2036,Billings ›,54,"5,819",0,—,13%,0,—,—,—,0,—,8%
561,Bingham ›,"4,842","10,344",74,158,26%,3,14,6,–35%,0,—,24%
823,Black Hawk ›,"15,804","12,043",308,235,39%,1,9,4,–66%,0,—,44%
715,Blackford ›,"1,363","11,592",32,272,29%,6,13,15,–13%,0.1,0.30,23%
1925,Bladen ›,"3,271","9,996",42,128,20%,9,12,13,–14%,0.3,0.40,31%
1744,Blaine ›,21,"4,516",0,—,16%,0,—,11,+14%,0,—,15%
1615,Blaine ›,763,"11,420",23,344,53%,<1,11,15,+54%,0,—,28%
2172,Blaine ›,"1,045","11,083",18,191,27%,<1,2,19,+10%,0,—,27%
562,Blaine ›,"2,377","10,325",18,78,51%,2,13,8,–43%,0,—,29%
2248,Blair ›,"13,031","10,696",331,272,32%,11,23,17,+123%,0,—,27%
2832,Blanco ›,735,"6,160",20,168,35%,0,—,—,–100%,0,—,36%
2910,Bland ›,676,"10,764",10,159,—,11,13,19,–19%,0.2,0.19,—
430,Bleckley ›,"1,477","11,474",51,396,—,7,7,8,–23%,0.6,0.60,—
2512,Bledsoe ›,"2,156","14,312",11,73,16%,4,12,—,–100%,0,—,28%
24,Blount ›,"6,694","11,576",137,237,15%,6,5,9,–8%,0.4,0.38,24%
2566,Blount ›,"15,551","11,685",196,147,31%,2,8,9,–22%,0,—,22%
1353,Blue Earth ›,"7,496","11,080",41,61,37%,7,12,12,–38%,0,—,33%
591,Boise ›,356,"4,546",2,26,22%,0,—,15,–20%,0,—,22%
1398,Bolivar ›,"4,802","15,678",132,431,31%,30,97,—,–100%,0,—,26%
1546,Bollinger ›,"1,122","9,248",12,99,19%,<1,5,12,+4%,0,—,24%
2436,Bon Homme ›,"1,548","22,432",27,391,38%,10,8,11,+37%,0.4,0.38,28%
615,Bond ›,"2,048","12,468",30,183,32%,3,19,10,–34%,0,—,37%
584,Bonner ›,"3,248","7,101",43,94,28%,<1,2,—,—,0,—,28%
549,Bonneville ›,"14,899","12,514",167,140,28%,4,13,6,–38%,0,—,23%
1676,Boone ›,584,"11,248",4,77,37%,1,14,13,+156%,0,—,30%
1018,Boone ›,"14,323","10,722",148,111,35%,7,15,12,–2%,0,—,29%
149,Boone ›,"3,832","10,237",80,214,20%,<1,4,—,–100%,0,—,20%
3079,Boone ›,"2,043","9,521",34,158,—,4,24,10,–25%,0,—,—
1521,Boone ›,"18,403","10,198",93,52,40%,<1,9,9,–16%,0,—,16%
862,Boone ›,"2,644","10,079",34,130,41%,<1,4,—,–100%,0,—,35%
755,Boone ›,"6,731","9,921",105,155,41%,2,11,14,+33%,0,—,18%
614,Boone ›,"6,699","12,511",84,157,30%,25,20,12,–15%,0.3,0.22,33%
2846,Borden ›,30,"4,587",2,306,21%,0,—,—,—,0,—,29%
2766,Bosque ›,"1,673","8,954",33,177,28%,<1,5,12,+251%,0.1,1.02,22%
1127,Bossier ›,"13,931","10,966",300,236,24%,5,13,8,–2%,0,—,21%
2966,Botetourt ›,"2,527","7,562",36,108,—,2,8,21,–25%,0,—,—
2026,Bottineau ›,715,"11,382",20,318,37%,<1,2,5,–6%,0,—,37%
285,Boulder ›,"23,394","7,172",256,78,—,1,14,—,—,0,—,—
585,Boundary ›,868,"7,089",10,82,21%,<1,2,—,–100%,0,—,20%
1082,Bourbon ›,"1,692","8,551",18,91,35%,2,7,8,+5%,0.1,0.53,26%
958,Bourbon ›,"1,413","9,722",26,179,23%,0,—,—,—,0,—,58%
2805,Bowie ›,"7,007","7,515",214,230,18%,<1,2,2,–64%,0,—,35%
2011,Bowman ›,402,"13,294",5,165,26%,<1,11,13,+1%,0,—,27%
1716,Box Butte ›,937,"8,690",11,102,19%,<1,4,—,—,0,—,23%
2868,Box Elder ›,"5,426","9,681",50,89,23%,<1,6,—,—,0,—,22%
1710,Boyd ›,176,"9,171",3,156,23%,<1,5,—,—,0,—,22%
1019,Boyd ›,"4,987","10,675",74,158,27%,3,14,11,+13%,0,—,26%
1005,Boyle ›,"3,435","11,427",70,233,37%,4,23,8,–20%,0,—,19%
1098,Bracken ›,637,"7,672",7,84,30%,<1,5,7,+34%,0,—,38%
2260,Bradford ›,"5,870","9,731",90,149,26%,16,19,17,–19%,0.3,0.34,28%
342,Bradford ›,"3,021","10,712",56,199,17%,10,13,—,–100%,0,—,41%
2520,Bradley ›,"15,096","13,964",151,140,21%,21,11,12,–14%,0,—,24%
123,Bradley ›,"1,394","12,952",32,297,30%,2,19,—,–100%,0,—,20%
1234,Branch ›,"5,549","12,751",120,276,29%,3,38,13,–33%,0.4,5.20,29%
514,Brantley ›,"1,632","8,540",37,194,—,<1,4,21,+8%,0,—,—
3113,Braxton ›,932,"6,678",3,21,—,1,10,10,+133%,0,—,—
2725,Brazoria ›,"37,728","10,081",504,135,32%,1,8,—,–100%,0.1,1.09,20%
2669,Brazos ›,"26,706","11,651",250,109,30%,258,5,8,–55%,9.3,0.20,30%
1089,Breathitt ›,"1,028","8,139",9,71,29%,<1,7,6,–42%,0.3,2.35,24%
1107,Breckinridge ›,"1,283","6,266",16,78,26%,<1,1,—,—,0,—,23%
840,Bremer ›,"2,843","11,344",60,239,41%,1,7,—,—,0,—,37%
380,Brevard ›,"42,045","6,985",879,146,35%,<1,3,6,+71%,0,—,16%
2724,Brewster ›,933,"10,138",16,174,40%,3,8,8,–27%,0.1,0.39,21%
2699,Briscoe ›,168,"10,867",5,323,27%,<1,15,—,–100%,0,—,28%
75,"Bristol Bay, Lake and Peninsula Boroughs",195,"8,609",0,—,—,1,21,10,+3%,0,—,20%
1216,Bristol ›,"65,922","11,663","1,716",304,35%,62,13,7,–38%,1.3,0.29,32%
2386,Bristol ›,"5,096","10,512",143,295,47%,10,12,18,–17%,0,—,46%
2933,Bristol ›,"1,518","9,056",34,203,—,6,6,7,–45%,0.1,0.16,—
1636,Broadwater ›,493,"7,904",5,80,21%,<1,3,16,+54%,0,—,29%
3075,Brooke ›,"2,196","10,010",60,273,—,9,30,14,–1%,0,—,—
2480,Brookings ›,"4,210","12,002",37,105,27%,<1,3,—,–100%,0,—,26%
501,Brooks ›,"1,394","9,019",47,304,—,<1,5,21,+8%,0,—,—
2681,Brooks ›,806,"11,363",36,508,35%,2,65,6,–21%,0,—,20%
1837,Broome ›,"18,300","9,607",356,187,41%,20,18,5,–19%,0,—,40%
289,Broomfield ›,"4,803","6,816",75,106,—,3,13,—,–100%,0.2,0.74,—
324,Broward ›,"241,132","12,348","2,986",153,34%,129,18,20,–7%,2.7,0.37,26%
2688,Brown ›,"4,255","11,238",137,362,23%,<1,35,—,–100%,0,—,38%
784,Brown ›,"1,024","6,785",41,272,31%,1,4,19,+9%,0,—,19%
2083,Brown ›,"3,960","9,118",57,131,24%,16,8,19,+8%,0,—,36%
1330,Brown ›,"3,050","12,196",40,160,45%,5,20,12,–33%,0.1,0.58,27%
1727,Brown ›,219,"7,411",2,68,25%,<1,<1,8,–13%,0,—,25%
2453,Brown ›,"5,578","14,362",92,237,39%,2,9,—,–100%,0,—,28%
657,Brown ›,704,"10,702",12,182,22%,2,12,9,–49%,0,—,30%
3122,Brown ›,"35,223","13,315",289,109,41%,4,25,—,—,0,—,39%
908,Brown ›,"1,237","12,934",38,397,38%,<1,7,—,—,0,—,29%
2466,Brule ›,717,"13,536",10,189,26%,<1,5,—,–100%,0.1,2.70,26%
2955,Brunswick ›,"1,312","8,083",22,136,—,2,13,5,–71%,0,—,—
1978,Brunswick ›,"9,146","6,404",153,107,41%,<1,4,13,+75%,0,—,28%
2146,Bryan ›,"6,109","12,728",72,150,23%,2,5,13,–31%,0.1,0.37,31%
492,Bryan ›,"3,658","9,231",39,98,—,<1,6,10,+43%,0,—,—
2989,Buchanan ›,"1,431","6,813",40,190,—,2,6,8,–36%,0.1,0.48,—
876,Buchanan ›,"1,912","9,030",32,151,36%,<1,2,9,+14%,0,—,38%
1492,Buchanan ›,"10,513","12,034",181,207,23%,4,8,3,–2%,0.1,0.32,26%
2902,Buckingham ›,"2,130","12,421",30,175,—,4,16,6,–17%,0,—,—
2264,Bucks ›,"59,855","9,527","1,271",202,39%,53,19,16,–13%,0.6,0.21,31%
2897,Buena Vista ›,907,"14,001",20,309,—,5,17,19,–19%,0,—,—
786,Buena Vista ›,"4,246","21,641",40,204,41%,4,37,8,+7%,0,—,36%
2437,Buffalo ›,426,"21,713",13,663,27%,5,8,14,–37%,0,—,31%
